OOP244 NAA - Feb11
Abraham Simpson...................................00324543 - 3.9
Alice Glick.......................................00459608 - 1.9
Allison Taylor....................................00747954 - 3.2
Apu Nahasapeemapetilon............................00290816 - 2.6
Bart Simpson......................................00753102 - 3.9
Bernice Hibbert...................................00242653 - 3.8
Carl Carlson......................................00241968 - 3.7
Homer Simpson.....................................00413084 - 2.9
Lisa Simpson......................................00693664 - 4.0
Luann Van Houten..................................00737447 - 2.3
Martin Prince.....................................00575687 - 3.5
Maude Flanders....................................00272754 - 1.7
Sarah Wiggum......................................00920562 - 2.0
Surly Duff........................................00146127 - 2.6
